tranaction_Id,transaction_date,district,complete_year,transaction_type,num_building,num_land,num_garage,garage_status,garage_label,total_floor_number,building_state,main_building_materials,land_shifting_total_area,building_shifting_total_area,main_building_area,subsidiary_building_area,balcony_area,num_room,num_bathroom,compartment,management_org,carpark_type,carpark_shifting_area,carpark_total_price,elevator,total_ntd,unit_ntd
1,1/2/20,Beitou District,1980,Land+Building+Garage,2,2,1,1,Yes,7,Apartment_5to10storey,Reinforced Concrete,21.16,116.84,95.88,0,7.94,3,2,1,1,Ramp Plane,0,0,1,10000000,85587
2,1/2/20,Datong District,1944,Land+Building,1,1,0,0,No,2,House,NULL,12,17.46,17.46,0,0,0,0,0,0,No carpark,0,0,0,2553800,146266
3,1/2/20,Wenshan District,2010,Land+Building+Garage,1,1,1,1,Yes,14,Apartment_11storeyorgreater,Reinforced Concrete,35.61,180.18,96.26,0,11.11,3,2,1,1,Ramp Plane,0,0,1,24500000,135975
4,1/2/20,Zhongshan District,1967,Land+Building,1,1,0,0,No,4,Apartment_5storey,Strengthened Brickwork,9.5,23.38,20.01,3.36,0,1,1,1,0,No carpark,0,0,0,2300000,98375
5,1/2/20,Xinyi District,NULL,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,1.8,15.77,5.98,0.1,0.56,2,1,1,0,No carpark,0,0,1,2200000,139505
6,1/1/20,Beitou District,2005,Land+Building+Garage,1,1,1,1,Yes,9,Apartment_5to10storey,Reinforced Concrete,29.12,182.36,92.15,6.97,9.5,4,2,1,1,Lifting Machinery,29.74,0,1,20700000,113512
7,1/2/20,Nangang District,2008,Garage,0,0,1,1,Yes,15,Other,Reinforced Concrete,0.84,15.02,0,0,0,0,0,1,1,Ramp Machinery,0,1550000,0,1550000,NULL
8,1/2/20,Songshan District,1999,Garage,0,0,1,1,Yes,17,Other,Reinforced Concrete,0.48,40.11,0,0,0,0,0,1,1,Ramp Plane,40.04,2630000,0,2630000,NULL
9,1/4/20,Zhongshan District,2007,Garage,0,0,3,1,Yes,13,Other,Reinforced Concrete,0.74,19.95,0,0,0,0,0,1,1,Lifting Plane,19.95,1824000,0,1824000,NULL
10,1/3/20,Xinyi District,1969,Land+Building,1,1,0,0,No,4,Apartment_5storey,Strengthened Brickwork,4,10.12,10.12,0,0,2,1,1,0,No carpark,0,0,0,2200000,217391
11,1/3/20,Xinyi District,2014,Land+Building+Garage,2,1,1,1,Yes,9,Apartment_5to10storey,Reinforced Concrete,14.1,74.42,37.09,5.2,0,1,1,1,1,Tower,0,0,1,15500000,208249
12,1/2/20,Shilin District,1998,Land+Building+Garage,1,2,1,1,Yes,13,Apartment_11storeyorgreater,Reinforced Concrete,1.43,8.98,5.28,0,0.64,2,1,1,1,Lifting Plane,0,0,1,2200000,244989
13,1/5/20,Beitou District,1983,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,27.98,102.52,80.29,0,14.38,3,1,1,0,No carpark,0,0,0,14500000,141436
14,1/2/20,Songshan District,NULL,Land+Building,1,1,0,0,No,7,Other,Reinforced Concrete,2.56,11.62,10.9,0,0,0,0,0,0,No carpark,0,0,0,2200000,189329
15,1/2/20,Songshan District,NULL,Land+Building,1,1,0,0,No,7,Other,Reinforced Concrete,2.56,11.62,10.9,0,0,0,0,0,0,No carpark,0,0,0,2200000,189329
16,1/3/20,Zhongshan District,2006,Land+Building+Garage,1,1,2,1,Yes,14,Apartment_11storeyorgreater,Reinforced Concrete,79,339.91,158.44,1.89,13.36,3,3,1,1,Ramp Plane,84.88,0,1,147000000,432467
17,1/7/20,Zhongshan District,1979,Land+Building,1,1,0,0,No,14,Commercial Building,Reinforced Concrete,1.97,28.97,20.43,0,0,0,0,0,0,No carpark,0,0,1,3200000,110459
18,1/2/20,Neihu District,2000,Land+Building+Garage,2,1,5,1,Yes,12,NULL,Reinforced Concrete,76.74,582.67,402.41,0,0,0,0,0,1,Ramp Plane,0,9250000,0,82185100,141049
19,1/6/20,Xinyi District,1988,Land+Building,1,2,0,0,No,5,Apartment_5storey,Reinforced Concrete,24.55,99.34,79.31,9.72,0,3,2,1,0,No carpark,0,0,0,21880000,220254
20,1/3/20,Wanhua District,NULL,Land+Building,1,1,0,0,No,2,House,Brickwork,3.08,4.05,4.05,0,0,0,0,0,0,No carpark,0,0,0,2888000,713086
21,1/4/20,Wenshan District,1982,Land+Building,1,2,0,0,No,5,Apartment_5storey,Reinforced Concrete,48.7,160.78,122.79,0,25.79,3,2,1,0,No carpark,0,0,0,17700000,110088
22,1/4/20,Wenshan District,1992,Garage,0,0,1,1,Yes,7,Other,Reinforced Concrete,5.43,29.84,0,0,0,0,0,1,0,Lifting Machinery,0,1050000,0,1050000,NULL
23,1/9/20,Wenshan District,1995,Garage,0,0,1,1,Yes,9,Other,Reinforced Concrete,0.58,15.4,0,0,0,0,0,1,1,Lifting Plane,0,850000,0,850000,NULL
24,1/9/20,Zhongshan District,1969,Land+Building,1,2,0,0,No,4,Storefront,Strengthened Brickwork,13.25,41.72,41.72,0,0,0,1,1,0,No carpark,0,0,0,14750000,353547
25,1/3/20,Wanhua District,NULL,Land+Building,1,1,0,0,No,2,House,Brickwork,3.08,4.05,4.05,0,0,0,0,0,0,No carpark,0,0,0,2888000,713086
26,1/7/20,ZhongZheng District,2015,Garage,0,0,1,1,Yes,15,Other,Reinforced Concrete,0.08,11.75,0,0,0,0,0,1,1,Ramp Machinery,11.75,1830000,0,1830000,NULL
27,1/8/20,Nangang District,NULL,Garage,0,0,2,1,Yes,NULL,Other,NULL,0.88,58.88,0,0,0,0,0,1,1,Ramp Plane,0,5600000,0,5600000,NULL
28,1/2/20,Neihu District,2000,Land+Building+Garage,2,1,4,1,Yes,12,NULL,Reinforced Concrete,90.14,648.78,427.4,0,0,0,0,0,1,Ramp Plane,0,7400000,0,106200000,163692
29,1/2/20,Zhongshan District,2003,Land+Building+Garage,1,1,1,1,Yes,14,Suite,Reinforced Concrete,4.7,63.03,23.02,0.74,3.11,1,1,1,1,Ramp Plane,0,0,0,10700000,169760
30,1/2/20,Neihu District,NULL,Garage,0,0,1,1,Yes,NULL,Other,NULL,0.26,38.92,0,0,0,0,0,1,0,Ramp Plane,38.92,1500000,0,1500000,NULL
31,1/7/20,Beitou District,NULL,Garage,0,0,1,1,Yes,NULL,Other,NULL,1.32,40.47,0,0,0,0,0,1,1,Ramp Plane,40.47,1700000,0,1700000,NULL
32,1/3/20,Shilin District,1983,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,35,118.84,91.91,0,13,2,2,1,0,No carpark,0,0,0,15000000,126220
33,1/8/20,Neihu District,2015,Land+Building+Garage,2,1,6,1,Yes,11,Apartment_11storeyorgreater,Reinforced Concrete,95.46,742.89,403.68,11.88,29.16,5,6,1,0,Ramp Plane,159.06,0,1,120000000,161533
34,1/5/20,Beitou District,1977,Land+Building,1,4,0,0,No,7,Suite,Reinforced Concrete,12.98,50.34,35.44,0,6.75,1,1,1,1,No carpark,0,0,0,3500000,69527
35,1/13/20,Beitou District,1976,Garage,0,0,2,1,Yes,7,Other,Reinforced Concrete,10.26,50.83,0,0,0,0,0,1,1,Ramp Plane,0,2500000,0,2500000,NULL
36,1/2/20,Daan District,1978,Land+Building,1,2,0,0,No,12,Apartment_11storeyorgreater,Reinforced Concrete,5.26,36.35,27.92,0,2.68,0,0,0,1,No carpark,0,0,1,8000000,220083
37,1/2/20,Songshan District,1986,Garage,0,0,1,1,Yes,14,Other,Reinforced Concrete,6.66,52.82,0,0,0,0,0,1,1,Ramp Plane,45.48,2860000,0,2860000,NULL
38,1/8/20,Shilin District,1998,Garage,0,0,1,1,Yes,8,Other,Reinforced Concrete,3.97,32.28,0,0,0,0,0,1,1,Ramp Plane,0,3000000,0,3000000,NULL
39,1/14/20,Shilin District,2004,Garage,0,0,1,1,Yes,12,Other,Reinforced Concrete,0.16,36.95,0,0,0,0,0,1,1,Ramp Plane,36.94,2500000,0,2500000,NULL
40,1/13/20,Zhongshan District,2010,Garage,0,0,1,1,Yes,15,Other,Reinforced Concrete,0.04,16.3,0,0,0,0,0,1,1,Ramp Machinery,0,1000000,0,1000000,NULL
41,1/13/20,Zhongshan District,2010,Garage,0,0,1,1,Yes,15,Other,Reinforced Concrete,0.04,16.3,0,0,0,0,0,1,1,Ramp Machinery,0,900000,0,900000,NULL
42,1/5/20,Xinyi District,1968,Land+Building,1,1,0,0,No,2,Apartment_5storey,Strengthened Brickwork,57,81,81,0,0,4,1,1,0,No carpark,0,0,0,10160000,125432
43,1/6/20,Songshan District,2001,Garage,0,0,1,1,Yes,10,Other,Reinforced Concrete,4.14,38.63,0,0,0,0,0,1,1,Ramp Plane,33.58,1880000,0,1880000,NULL
44,1/13/20,Zhongshan District,2006,Garage,0,0,1,1,Yes,12,Other,Reinforced Concrete,0.13,17.2,0,0,0,0,0,1,1,Ramp Machinery,17.2,750000,0,750000,NULL
45,1/7/20,ZhongZheng District,2002,Land+Building+Garage,1,1,1,1,Yes,13,Apartment_11storeyorgreater,Reinforced Concrete,28.09,152.23,80.01,0,8.83,3,1,1,1,Ramp Plane,33.62,0,1,25000000,164225
46,1/2/20,Wenshan District,NULL,Garage,0,0,1,1,Yes,NULL,Other,NULL,0.38,43.92,0,0,0,0,0,1,1,Ramp Plane,43.92,1800000,0,1800000,NULL
47,1/9/20,Wenshan District,1994,Land+Building,1,1,0,0,No,11,Suite,Reinforced Concrete,6.59,55.92,28.21,0,0,1,1,1,1,No carpark,0,0,0,5500000,98355
48,1/7/20,Datong District,2019,Land+Building,1,3,0,0,No,19,Apartment_11storeyorgreater,Reinforced Concrete,6.02,63.45,40.04,0,4.46,2,1,1,1,No carpark,0,0,1,14880000,234515
49,1/7/20,Songshan District,1983,Land+Building,1,1,0,0,No,15,Apartment_11storeyorgreater,Reinforced Concrete,4.49,52.44,40.64,0,3.6,0,0,0,1,No carpark,0,0,1,9500000,181159
50,1/8/20,Zhongshan District,1999,Land+Building,1,1,0,0,No,6,Suite,Reinforced Concrete,14.51,52.78,29.03,0,3.88,1,1,1,0,No carpark,0,0,0,10400000,197044
51,1/14/20,Neihu District,2018,Land+Building+Garage,1,1,1,1,Yes,15,Apartment_11storeyorgreater,Reinforced Concrete,10.38,114.96,57.24,2.25,5.33,2,1,1,1,Lifting Plane,13.73,2000000,1,32000000,296355
52,1/8/20,Daan District,NULL,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,6.45,33.88,26.02,0,4.62,3,2,1,1,No carpark,0,0,1,7000000,206612
53,1/2/20,Songshan District,1986,Land+Building,1,1,0,0,No,14,Apartment_11storeyorgreater,Reinforced Concrete,25.29,206.94,155.23,0,23.82,4,2,1,1,No carpark,0,0,1,68000000,328598
54,1/8/20,ZhongZheng District,NULL,Land+Building,1,1,0,0,No,5,Apartment_5storey,Strengthened Brickwork,14.8,35.11,30.16,0,4.95,2,1,1,0,No carpark,0,0,0,5500000,156651
55,1/21/20,Shilin District,1973,Land+Building,1,1,0,0,No,3,Apartment_5storey,Strengthened Brickwork,32.33,75.22,75.22,0,0,3,1,1,0,No carpark,0,0,0,8550000,113667
56,1/15/20,Zhongshan District,1977,Land+Building,1,2,0,0,No,7,Suite,Reinforced Concrete,4.78,24.99,16.28,0,2.99,1,1,1,0,No carpark,0,0,0,3900000,156062
57,1/10/20,Beitou District,1977,Land+Building,1,3,0,0,No,4,Apartment_5storey,Reinforced Concrete,23.85,65.25,57.15,0,8.1,2,1,1,0,No carpark,0,0,0,8100000,124138
58,1/7/20,Beitou District,1981,Garage,0,0,1,1,Yes,5,Other,Reinforced Concrete,2.58,32.37,0,0,0,0,0,1,1,Ramp Plane,32.37,2050000,0,2050000,NULL
59,1/7/20,Beitou District,1981,Garage,0,0,1,1,Yes,5,Other,Reinforced Concrete,2.58,32.37,0,0,0,0,0,1,1,Ramp Plane,32.37,2350000,0,2350000,NULL
60,1/7/20,Beitou District,1981,Garage,0,0,1,1,Yes,5,Other,Reinforced Concrete,2.58,32.37,0,0,0,0,0,1,1,Ramp Plane,32.37,2050000,0,2050000,NULL
61,1/7/20,Beitou District,1981,Garage,0,0,1,1,Yes,5,Other,Reinforced Concrete,2.58,32.37,0,0,0,0,0,1,1,Ramp Plane,32.37,2750000,0,2750000,NULL
62,1/8/20,Shilin District,1972,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,11.69,30.7,27.5,1.85,1.35,1,1,1,0,No carpark,0,0,0,4700000,153094
63,1/7/20,Beitou District,1975,Land+Building,1,1,0,0,No,4,Apartment_5storey,Reinforced Concrete,61.75,151.83,151.83,0,0,3,2,1,0,No carpark,0,0,0,18000000,118554
64,1/3/20,Shilin District,1985,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,18.51,106.55,70.42,0,22.27,3,2,1,1,No carpark,0,0,1,16260000,152604
65,1/14/20,Zhongshan District,1992,Garage,0,0,1,1,Yes,9,Other,Reinforced Concrete,2.69,30.22,0,0,0,0,0,1,1,Lifting Machinery,0,1500000,0,1500000,NULL
66,1/9/20,Neihu District,2016,Land+Building+Garage,1,1,1,1,Yes,4,Apartment_5to10storey,Reinforced Concrete,70.99,153.56,62.01,9.4,8.3,2,1,1,1,Ramp Plane,33.15,2200000,1,19800000,146167
67,1/4/20,Wenshan District,1995,Land+Building,1,1,0,0,No,12,Apartment_11storeyorgreater,Reinforced Concrete,41.14,136.06,86.48,2.48,9.72,2,2,1,1,No carpark,0,0,1,14580000,107159
68,1/7/20,Wenshan District,NULL,Land+Building,1,1,0,0,No,4,Apartment_5storey,Strengthened Brickwork,13.4,46.92,43.52,3.4,0,3,1,1,0,No carpark,0,0,0,4670000,99531
69,1/10/20,Xinyi District,1969,Land+Building,1,1,0,0,No,4,Apartment_5storey,Strengthened Brickwork,4,10.12,10.12,0,0,2,1,1,0,No carpark,0,0,0,2200000,217391
70,1/9/20,Xinyi District,1993,Garage,0,0,1,1,Yes,17,Other,Other,0.54,38.1,0,0,0,0,0,1,1,Ramp Plane,38.1,2850000,0,2850000,NULL
71,1/1/20,Daan District,1987,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,27.6,108.95,97.36,0,8.42,3,2,1,0,No carpark,0,0,0,18500000,169803
72,1/7/20,Daan District,2007,Land+Building,1,2,0,0,No,14,Suite,Reinforced Concrete,3.31,38.94,21,0.62,2.65,1,1,1,1,No carpark,0,0,0,13800000,354391
73,1/7/20,Daan District,NULL,Land+Building,1,1,0,0,No,10,Apartment_5to10storey,Reinforced Concrete,19.9,178.88,178.88,0,0,0,0,0,1,No carpark,0,0,1,51500000,287903
74,1/6/20,Daan District,1989,Land+Building,1,1,0,0,No,12,Apartment_11storeyorgreater,Reinforced Concrete,3.94,57.97,40.2,1.08,5.04,2,1,1,1,No carpark,0,0,1,15435000,266258
75,1/10/20,Shilin District,2008,Garage,0,0,1,1,Yes,15,Other,Reinforced Concrete,0.16,21.38,0,0,0,0,0,1,1,Ramp Machinery,0,950000,0,950000,NULL
76,1/3/20,Beitou District,2005,Land+Building+Garage,1,1,1,1,Yes,14,Apartment_11storeyorgreater,Reinforced Concrete,25.83,150.44,73.41,2.51,7.81,4,2,1,1,Ramp Plane,33.44,0,1,22200000,147567
77,1/13/20,Beitou District,1978,Land+Building,1,1,0,0,No,8,Suite,Reinforced Concrete,4.13,25.5,20.83,1.55,0,1,1,1,0,No carpark,0,0,0,2500000,98039
78,1/3/20,Neihu District,2014,Land+Building+Garage,1,1,1,1,Yes,11,Apartment_11storeyorgreater,Reinforced Concrete,25.02,178.39,87.22,7.73,9.5,3,2,1,1,Tower,10.22,1800000,1,28850000,160849
79,1/4/20,Daan District,1984,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,31.29,141.96,118.74,0,15.94,4,2,1,0,No carpark,0,0,1,35500000,250070
80,1/3/20,Beitou District,1980,Land+Building,1,2,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,10.58,50.05,39.34,4.2,0,1,1,1,1,No carpark,0,0,1,4180000,83516
81,1/2/20,Zhongshan District,1986,Land+Building,2,1,0,0,No,15,Apartment_11storeyorgreater,Reinforced Concrete,4.69,22.89,17.42,0.2,1.25,3,2,1,1,No carpark,0,0,1,2100000,91743
82,1/10/20,Nangang District,2013,Land+Building+Garage,1,1,1,1,Yes,5,Apartment_5to10storey,Reinforced Concrete,70.32,183.65,86.76,11.25,5.39,3,2,1,1,Ramp Plane,30.24,0,1,23300000,126872
83,1/14/20,Xinyi District,2007,Garage,0,0,1,1,Yes,19,Other,Other,0.38,34.93,0,0,0,0,0,1,1,Ramp Plane,0,3300000,0,3300000,NULL
84,1/4/20,Xinyi District,1971,Land+Building,1,1,0,0,No,4,Apartment_5storey,Reinforced Concrete,22.25,64.66,61.84,0,2.82,2,1,1,0,No carpark,0,0,0,13200000,204145
85,1/14/20,Songshan District,2018,Land+Building+Garage,1,1,1,1,Yes,15,Apartment_11storeyorgreater,Reinforced Concrete,8.15,124.46,51.6,3.18,4.54,2,2,1,1,Ramp Plane,36.39,3600000,1,37550000,385489
86,1/16/20,Datong District,NULL,Land+Building,1,1,0,0,No,4,Apartment_5storey,Strengthened Brickwork,25.25,75.5,75.5,0,0,2,1,1,0,No carpark,0,0,0,10300000,136424
87,1/3/20,Datong District,1997,Land+Building+Garage,1,2,1,1,Yes,12,Commercial Building,Reinforced Concrete,12.99,90.19,61.05,0,5.61,0,0,0,1,Ramp Machinery,0,0,1,26000000,288280
88,1/15/20,Wanhua District,1983,Land+Building,1,2,0,0,No,5,Apartment_5storey,Reinforced Concrete,1.17,5.3,3.92,0.84,0,1,1,1,0,No carpark,0,0,0,276934,52252
89,1/15/20,Wanhua District,1983,Land+Building,1,2,0,0,No,5,Apartment_5storey,Reinforced Concrete,1.17,5.3,3.92,0.84,0,1,1,1,0,No carpark,0,0,0,276934,52252
90,1/5/20,Nangang District,2008,Land+Building+Garage,1,1,1,1,Yes,8,Apartment_5to10storey,Reinforced Concrete,15.68,76.28,36.5,0,7.26,0,0,0,1,Ramp Machinery,0,0,1,15500000,203199
91,1/5/20,Beitou District,1985,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,26.64,104.38,86.29,0,7.16,3,2,1,0,No carpark,0,0,0,12000000,114965
92,1/10/20,Shilin District,1979,Land+Building,1,4,0,0,No,4,Apartment_5storey,Reinforced Concrete,32.55,82.48,72.8,0,9.68,3,2,1,0,No carpark,0,0,0,8783938,106498
93,1/7/20,Shilin District,1985,Land+Building+Garage,1,1,1,1,Yes,7,Storefront,Reinforced Concrete,44.84,242.96,206.72,21.51,0,0,0,0,1,Ramp Plane,37.78,0,0,72140000,296921
94,1/9/20,Daan District,NULL,Land+Building,1,1,0,0,No,12,Apartment_11storeyorgreater,Reinforced Concrete,10.35,110.9,99.85,0,0,3,2,1,1,No carpark,0,0,1,29680000,267628
95,1/6/20,Xinyi District,NULL,Land+Building,1,1,0,0,No,4,Apartment_5storey,Reinforced Concrete,28.75,80.71,80.71,0,0,3,1,1,0,No carpark,0,0,0,14400000,178417
96,1/3/20,Beitou District,2008,Land+Building+Garage,2,1,1,1,Yes,12,Other,Reinforced Concrete,36.92,187.84,99.53,2.36,7.21,3,3,1,1,Ramp Plane,24.62,0,0,20980000,111691
97,1/4/20,Beitou District,2005,Land+Building,1,1,0,0,No,14,Apartment_11storeyorgreater,Reinforced Concrete,4.09,37.7,19.64,0.65,3.02,1,1,1,1,No carpark,0,0,1,5850000,155172
98,1/9/20,Shilin District,1977,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,24.43,85.02,79.82,0,5.2,3,1,1,0,No carpark,0,0,0,14600000,171724
99,1/3/20,Shilin District,1986,Land+Building+Garage,1,1,1,1,Yes,12,Apartment_11storeyorgreater,Reinforced Concrete,19.71,225.76,175.53,1.34,14.62,3,2,1,1,Ramp Plane,0,0,1,33800000,149723
100,1/1/20,Shilin District,1982,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,24.99,123.97,89.02,0,22.27,3,2,1,1,No carpark,0,0,1,30000000,241994
101,1/20/20,Beitou District,1977,Land+Building,1,1,0,0,No,10,Apartment_5to10storey,Reinforced Concrete,11.07,98.26,79.66,0,5.8,3,1,1,1,No carpark,0,0,1,12800000,130267
102,1/15/20,Zhongshan District,1991,Garage,0,0,1,1,Yes,14,Other,Reinforced Concrete,1.21,46.2,0,0,0,0,0,1,1,Ramp Plane,46.2,2600000,0,2600000,NULL
103,1/6/20,Zhongshan District,NULL,Land+Building,1,3,0,0,No,6,Apartment_5to10storey,Strengthened Brickwork,29.25,141.52,141.52,0,0,1,1,1,0,No carpark,0,0,1,22397995,158267
104,1/15/20,Zhongshan District,2003,Land+Building+Garage,1,1,1,1,Yes,14,Apartment_11storeyorgreater,Reinforced Concrete,4.7,63.03,23.02,0.74,3.11,2,1,1,1,Ramp Machinery,0,0,1,10280000,163097
105,1/1/20,Xinyi District,1989,Land+Building,1,6,0,0,No,12,Suite,Reinforced Concrete,3.45,40.65,32.08,0,0,1,1,1,1,No carpark,0,0,0,9000000,221402
106,1/1/20,ZhongZheng District,2018,Land+Building,2,2,0,0,No,14,Apartment_11storeyorgreater,Steel Reinforced Concrete,12.5,118.99,67.7,3.13,4.33,2,2,1,1,No carpark,0,0,1,52200000,438692
107,1/3/20,Datong District,NULL,Land+Building,1,2,0,0,No,4,Apartment_5storey,Strengthened Brickwork,26,90.32,90.32,0,0,3,1,1,0,No carpark,0,0,0,13560000,150133
108,1/4/20,Wanhua District,2019,Land+Building+Garage,1,2,2,1,Yes,18,Apartment_11storeyorgreater,Reinforced Concrete,15.97,238.96,83.97,5.62,13.65,3,2,1,1,Ramp Plane,83.02,4500000,1,36150000,202963
109,1/14/20,Datong District,2004,Land+Building+Garage,1,1,1,1,Yes,12,Suite,Reinforced Concrete,5.36,50.88,24.11,0,0,1,1,1,1,Lifting Plane,0,0,0,6500000,127752
110,1/10/20,Wanhua District,2012,Land+Building+Garage,1,1,1,1,Yes,15,Apartment_11storeyorgreater,Reinforced Concrete,7.81,120.97,58.1,1.79,6.23,2,1,1,1,Lifting Plane,0,0,1,21500000,177730
111,1/8/20,Wanhua District,2008,Land+Building,1,4,0,0,No,14,Apartment_11storeyorgreater,Reinforced Concrete,36.47,171.39,102.57,0,0,0,1,1,1,No carpark,0,0,1,32063000,187076
112,1/1/20,ZhongZheng District,1984,Land+Building,1,1,0,0,No,10,Apartment_5to10storey,Reinforced Concrete,19.56,112.62,77.95,0,11.25,3,2,1,1,No carpark,0,0,1,15750000,139851
113,2/3/20,Wenshan District,2017,Land+Building+Garage,1,6,1,1,Yes,18,Apartment_11storeyorgreater,Other,33.64,197.65,95.46,0,14.25,4,2,1,1,Ramp Machinery,28.9,0,1,27349888,138375
114,1/7/20,ZhongZheng District,2019,Land+Building,1,2,0,0,No,14,Storefront,Other,14.97,144.45,82.99,0,6.48,0,0,0,1,No carpark,0,0,0,87160000,603392
115,1/7/20,ZhongZheng District,2019,Land+Building,1,2,0,0,No,14,Storefront,Other,13.17,126.32,71.49,0,6.57,0,0,0,1,No carpark,0,0,0,74820000,592305
116,1/7/20,ZhongZheng District,2019,Land+Building,1,2,0,0,No,14,Apartment_11storeyorgreater,Other,7.62,76.96,43.3,3.28,2.27,2,1,1,1,No carpark,0,0,1,22290000,289631
117,1/7/20,ZhongZheng District,2019,Land+Building,1,2,0,0,No,14,Apartment_11storeyorgreater,Other,6.39,62.85,31.79,1.89,6.03,2,1,1,1,No carpark,0,0,1,17880000,284487
118,1/21/20,Wenshan District,1994,Garage,0,0,1,1,Yes,14,Other,Reinforced Concrete,0.31,43.06,0,0,0,0,0,1,1,Ramp Plane,0,1300000,0,1300000,NULL
119,1/4/20,Wenshan District,1993,Land+Building+Garage,1,2,1,1,Yes,6,Apartment_5to10storey,Reinforced Concrete,30.06,157.43,111.95,24.58,9.68,4,3,1,1,Ramp Plane,40.96,0,1,18180000,115480
120,1/5/20,Wenshan District,NULL,Land+Building,1,1,0,0,No,4,Apartment_5storey,Reinforced Concrete,41,107.16,95.9,0,11.26,3,2,1,0,No carpark,0,0,0,14280000,133259
121,1/6/20,Wenshan District,1990,Land+Building+Garage,1,1,1,1,Yes,11,Apartment_11storeyorgreater,Reinforced Concrete,42.7,175.53,142.72,0.92,11.98,2,2,1,1,Ramp Plane,0,0,1,20400000,116226
122,1/13/20,ZhongZheng District,2008,Garage,0,0,1,1,Yes,14,Other,Other,0.18,46.69,0,0,0,0,0,1,1,Ramp Plane,46.68,2325000,0,2325000,NULL
123,1/13/20,Wanhua District,2017,Land+Building,1,1,0,0,No,19,Apartment_11storeyorgreater,Reinforced Concrete,9.94,123.12,79.03,2.38,6.05,3,2,1,1,No carpark,0,0,1,23850000,193713
124,1/10/20,Datong District,1995,Land+Building,1,1,0,0,No,7,Suite,Reinforced Concrete,6.3,32.9,17.47,5.47,2.72,1,1,1,1,No carpark,0,0,0,4900000,148936
125,1/6/20,ZhongZheng District,2018,Land+Building+Garage,1,1,1,1,Yes,15,Commercial Building,Reinforced Concrete,10.03,124.52,53.98,0,6.6,0,0,0,1,Lifting Plane,29.04,2400000,1,33000000,320486
126,1/8/20,Xinyi District,1994,Land+Building,1,1,0,0,No,6,Apartment_5to10storey,Reinforced Concrete,11.32,47.02,27.77,3.61,3.8,1,1,1,0,No carpark,0,0,1,12460000,264994
127,1/8/20,Songshan District,1983,Land+Building,1,1,0,0,No,16,Apartment_11storeyorgreater,Reinforced Concrete,4.13,44.71,31.93,0,4.74,2,1,1,1,No carpark,0,0,1,9000000,201297
128,1/13/20,Songshan District,1992,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,32.11,133.13,81.4,2.47,9.1,3,2,1,1,No carpark,0,0,1,25100000,188538
129,1/11/20,Songshan District,NULL,Land+Building,1,1,0,0,No,4,Apartment_5storey,Reinforced Concrete,33.25,100.68,100.68,0,0,3,2,1,0,No carpark,0,0,0,17600000,174811
130,1/3/20,Nangang District,2015,Land+Building+Garage,1,2,2,1,Yes,16,Apartment_11storeyorgreater,Reinforced Concrete,2.23,24.21,10.4,0.56,0.98,4,2,1,1,Ramp Plane,6.74,0,1,4400000,181743
131,1/1/20,Neihu District,1989,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,33.07,101.4,88.17,0,9.53,3,2,1,0,No carpark,0,0,0,13800000,136095
132,1/6/20,Zhongshan District,1984,Land+Building,1,1,0,0,No,7,Suite,Reinforced Concrete,6.19,37.58,25.49,0,3.19,1,1,1,1,No carpark,0,0,0,5550000,147685
133,1/10/20,Zhongshan District,1992,Land+Building,1,1,0,0,No,9,Apartment_5to10storey,Reinforced Concrete,4.92,43.61,24.67,1.33,4.07,0,0,0,1,No carpark,0,0,1,6480000,148590
134,1/8/20,Neihu District,1981,Land+Building,1,2,0,0,No,5,Apartment_5storey,Reinforced Concrete,14.35,53.47,43.15,0,10.32,3,1,1,0,No carpark,0,0,0,5900000,110342
135,1/20/20,Zhongshan District,NULL,Building,2,0,0,0,No,4,Storefront,Strengthened Brickwork,0,43.76,37.61,0,0,3,1,1,0,No carpark,0,0,0,3000000,68556
136,1/1/20,Beitou District,2005,Land+Building+Garage,1,1,1,1,Yes,14,Suite,Reinforced Concrete,5.73,55.25,20.12,0.65,3.02,1,1,1,1,Ramp Plane,16.66,0,0,8500000,153846
137,1/11/20,Beitou District,2018,Land+Building+Garage,1,1,1,1,Yes,24,Apartment_11storeyorgreater,Other,14.93,194.31,90.74,5.8,13.42,3,2,1,1,Ramp Plane,38.94,2500000,1,41000000,247796
