tranaction_Id,transaction_date,district,complete_year,transaction_type,num_building,num_land,num_garage,garage_status,garage_label,total_floor_number,building_state,main_building_materials,land_shifting_total_area,building_shifting_total_area,main_building_area,subsidiary_building_area,balcony_area,num_room,num_bathroom,compartment,management_org,carpark_type,carpark_shifting_area,carpark_total_price,elevator,total_ntd,unit_ntd
21528,11/25/20,Beitou District,1971,Land+Building,1,1,0,0,No,2,Apartment_5storey,Strengthened Brickwork,37,48.43,48.43,0,0,2,1,1,0,No carpark,0,0,0,2350000,48524
21529,12/31/20,Songshan District,1981,Land+Building,1,1,0,0,No,12,Apartment_11storeyorgreater,Reinforced Concrete,11.91,123.64,90.84,0,8.88,3,2,1,1,No carpark,0,0,1,20280000,164025
21530,12/31/20,Songshan District,1981,Land+Building,1,1,0,0,No,12,Apartment_11storeyorgreater,Reinforced Concrete,6.42,70.67,51.94,0,3.97,2,1,1,1,No carpark,0,0,1,11960000,169237
21531,11/23/20,Nangang District,1974,Land+Building,1,1,0,0,No,4,Apartment_5storey,Reinforced Concrete,24.25,75.15,75.15,0,0,0,0,0,0,No carpark,0,0,0,14900000,198270
21532,12/10/20,Songshan District,1983,Land+Building,1,1,0,0,No,15,Apartment_11storeyorgreater,Reinforced Concrete,4.49,51.52,39.92,0,3.6,1,1,1,1,No carpark,0,0,1,10000000,194099
21533,12/26/20,Songshan District,1988,Land+Building+Garage,1,3,1,1,Yes,18,Apartment_11storeyorgreater,Reinforced Concrete,16.03,173.38,131.19,0,13.42,3,2,1,1,Ramp Plane,0,0,1,42580000,245574
21534,12/28/20,Xinyi District,1974,Land+Building,1,1,0,0,No,4,Apartment_5storey,Reinforced Concrete,11.39,30.56,30.56,0,0,3,1,1,0,No carpark,0,0,0,5200000,170157
21535,11/30/20,Songshan District,2006,Land+Building,1,1,0,0,No,11,Apartment_11storeyorgreater,Reinforced Concrete,48.15,195.75,97.21,0,11.3,3,2,1,1,No carpark,0,0,1,34400000,175734
21536,11/11/20,Xinyi District,1993,Building,1,0,0,0,No,17,Apartment_11storeyorgreater,Steel Reinforced Concrete,0,148.27,96.12,0,24.27,2,1,1,1,No carpark,0,0,1,4500000,30350
21537,12/24/20,Neihu District,2014,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,25.76,118.58,49.18,1.2,4.52,2,2,1,1,No carpark,0,0,1,15000000,126497
21538,12/24/20,Neihu District,2014,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,25.76,118.58,49.18,1.2,4.52,2,2,1,1,No carpark,0,0,1,15000000,126497
21539,12/24/20,Neihu District,2014,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,22.54,104.26,43.04,1.2,3.83,2,2,1,1,No carpark,0,0,1,13250000,127086
21540,12/19/20,Neihu District,1983,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,34.15,105.61,69.07,0,9.32,3,1,1,1,No carpark,0,0,1,18900000,178960
21541,12/21/20,Zhongshan District,1988,Land+Building,1,2,0,0,No,8,Apartment_5to10storey,Reinforced Concrete,14.81,96.52,71.88,4.2,8.72,3,2,1,0,No carpark,0,0,1,26250000,271964
21542,12/22/20,Zhongshan District,2016,Land+Building+Garage,1,1,1,1,Yes,12,Apartment_11storeyorgreater,Other,9.39,114.78,38.2,2.47,3.68,2,1,1,1,Ramp Plane,0,0,1,18380000,160132
21543,12/14/20,Neihu District,1984,Land+Building,1,2,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,39.18,104.35,70.31,0,7.13,3,1,1,1,No carpark,0,0,1,17000000,162913
21544,12/7/20,Zhongshan District,2009,Land+Building+Garage,1,1,1,1,Yes,14,Apartment_11storeyorgreater,Reinforced Concrete,4.31,76.11,26.82,2.33,0,0,0,0,1,Ramp Plane,24.27,0,1,12080000,158739
